gene	raw_counts	median_length_normalized	RPKM
HOOK3|84376	260	2.33004750593824	1.53101995959912
HOPX|84525	114	5.5264175257732	3.64193952919312
HORMAD1|84072	264	10.7341227125942	7.04494834767265
HORMAD2|150280	0	0	0
HOTAIR|100124700	7	0.221364221364221	0.148893370984345
HOXA10|3206	1691	51.7589430894309	34.0822373501617
HOXA11AS|221883	585	28.2311168495804	18.7250956324115
HOXA11|3207	438	12.7977440684559	8.44678869371868
HOXA13|3209	652	19.533015115354	12.8588437289726
HOXA1|3198	54	1.64065040650407	1.08837422643923
HOXA2|3199	33	1.38637632607482	0.913561839054703
HOXA3|3200	389	8.8897758673626	5.92176868197702
HOXA4|3201	32	1.40740740740741	0.918175787736797
HOXA5|3202	130	7.21171171171171	4.83903455699123
HOXA6|3203	29	3.51461038961039	2.33419364220101
HOXA7|3204	204	7.61000991080278	5.01220241710038
HOXA9|3205	966	34.9176300578035	23.0711569323229
HOXB13|10481	155	3.75221529373154	2.52219604311027
HOXB1|3211	0	0	0
HOXB2|3212	61	2.8723667905824	1.87389779727696
HOXB3|3213	265	6.42778139232271	4.27426659808509
HOXB4|3214	73	2.70078354554358	1.77250193695321
HOXB5|3215	279	11.3879781420765	7.55914558362983
HOXB6|3216	560	21.0425531914894	14.0656716419254
HOXB7|3217	740	40.359477124183	26.6451012911855
HOXB8|3218	411	16.7459105779716	11.1112286984899
HOXB9|3219	2322	63.9745481372187	42.4670695952569
HOXC10|3226	0	0	0
HOXC11|3227	47	1.67714285714286	1.10968102346476
HOXC12|3228	0	0	0
HOXC13|3229	0	0	0
HOXC4|3221	3	0.114343029087262	0.0745960268873426
HOXC5|3222	0	0	0
HOXC6|3223	2	0.0810234541577825	0.0528587340488135
HOXC8|3224	0	0	0
HOXC9|3225	4	0.191194968553459	0.124733314560471
HOXD10|3236	11	0.460859977949283	0.300659546811278
HOXD11|3237	6	0.405693950177936	0.264669888991746
HOXD12|3238	0	0	0
HOXD13|3239	0	0	0
HOXD1|3231	23	0.863887493721748	0.572764604906631
HOXD3|3232	3	0.0961621388529539	0.0641416462325835
HOXD4|3233	5	0.292758089368259	0.190991881886699
HOXD8|3234	69	2.72911122937733	1.82071473395812
HOXD9|3235	20	0.799158780231335	0.521361646033513
HP1BP3|50809	1681	40.3035998725709	26.5519238470914
HPCAL1|3241	1445	55.8830561330561	37.2376594163733
HPCAL4|51440	0	0	0
HPCA|3208	9	0.445138888888889	0.309884328361169
HPDL|84842	318	13.1808097615086	8.74482231115712
HPD|3242	1	0.0455635491606715	0.029725115430328
HPGDS|27306	39	1.7640866873065	1.19732396840476
HPGD|3248	823	23.8939861218196	15.7307511020041
HPN|3249	23	0.953627932351337	0.622135476469777
HPRT1|3251	939	49.5973389355742	32.6029562275785
HPR|3250	1	0.0610441767068273	0.0398244919982225
HPS1|3257	1449	60.3108258928571	40.0912849817262
HPS3|84343	679	15.7843016069221	10.4035331993688
HPS4|89781	331	5.80690298507463	3.8273027122219
HPS5|11234	274	4.4585313174946	2.9341963186509
HPS6|79803	510	14.2015706806283	9.4564551960626
HPSE2|60495	8	0.243880326382593	0.179805956619355
HPSE|10855	152	6.97664413030117	4.6320755167447
HPVC1|3262	0	0	0
HPX|3263	5	0.254010695187166	0.165713544578165
HPYR1|93668	0	0	0
HP|3240	4	0.236760124610592	0.154459478310863
HRASLS2|54979	33	3.14267515923567	2.08431752069678
HRASLS5|117245	1	0.0246193715581471	0.0160613840420431
HRASLS|57110	0	0	0
HRAS|3265	338	21.693112467306	14.6107624043348
HRCT1|646962	113	8.50463439752832	5.77003981129757
HRC|3270	5	0.156378600823045	0.102019531970755
HRG|3273	0	0	0
HRH1|3269	273	4.67752962625342	3.08471911185412
HRH2|3274	4	0.106293706293706	0.0693447448080938
HRH3|11255	2	0.0149544863459038	0.0644752828839884
HRH4|59340	4	0.0863145939806928	0.0563106104915242
HRK|8739	0	0	0
HRNBP3|146713	2	0.0733590733590734	0.0478585835306825
HRNR|388697	0	0	0
HRSP12|10247	327	24.3610286844708	16.0367438772071
HR|55806	204	2.81819876934552	1.88600120785168
HS1BP3|64342	602	19.0484006734007	12.5623141867625
HS2ST1|9653	504	9.04146806482364	5.95545096259406
HS3ST1|9957	137	5.16030534351145	3.45682670619686
HS3ST2|9956	17	0.58745247148289	0.400610918793907
HS3ST3A1|9955	12	0.346032992930086	0.233691245268439
HS3ST3B1|9953	6	0.224409448818898	0.14640204489504
HS3ST4|9951	1	0.00967842647517952	0.0154797041953753
HS3ST5|222537	0	0	0
HS3ST6|64711	6	0.393226716839135	0.279857907080642
HS6ST1|9394	409	7.73121533030761	5.11316955319085
HS6ST2|90161	73	1.45350080171032	0.967249854425028
HS6ST3|266722	2	0.0194447997953179	0.0126855552098726
HSBP1L1|440498	233	22.621409921671	15.0815767118856
HSBP1|3281	2635	102.694111516415	68.080892567519
HSCB|150274	121	8.16094032549729	5.42437667004723
HSD11B1L|374875	131	6.29896238651102	4.21217608459799
HSD11B1|3290	35	1.88652482269504	1.23074626866847
HSD11B2|3291	1790	69.0618875709128	45.7714655196693
HSD17B10|3028	1852	144.206315789474	96.6578149262964
HSD17B11|51170	3423	136.375264270613	89.702668581842
HSD17B12|51144	2929	118.441050375134	77.8264692621534
HSD17B13|345275	13	0.422041862451944	0.275335071760458
HSD17B14|51171	27	1.54139072847682	1.10819561135782
HSD17B1|3292	81	2.72359963269054	1.84393980512431
HSD17B2|3294	124	6.32391454169538	4.23715029268477
HSD17B3|3293	2	0.132200188857413	0.0936383239618263
HSD17B4|3295	3753	106.206026365348	70.0863809771431
HSD17B6|8630	13	0.653439153439153	0.426295901449227
HSD17B7P2|158160	41	3.50881316098707	2.38876756057493
HSD17B7|51478	201	7.38722358722359	4.89723832928511
HSD17B8|7923	192	14.5783619817998	9.62552736830648
HSD3B1|3283	0	0	0
HSD3B2|3284	11	0.355526544821584	0.237335255837971
HSD3B7|80270	785	26.3922452660054	17.5480034455198
HSDL1|83693	285	6.01422197434467	3.94052575941698
