"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OXTR|5021",9434.6276981729,4.41077870898088,0.367258382392319,12.010015075079,3.14787665953593e-33,3.56839594740688e-30
"DEFB132|400830",714.986077767799,4.6982270538669,0.393727001471936,11.9327021928969,7.99358567670555e-33,8.5580216430996e-30
"MUCL1|118430",25215.1032397466,5.38149027685783,0.453946657836951,11.8548956886268,2.02976833890776e-32,2.05871924521534e-29
"PPAPDC1A|196051",169.028331717204,-5.06106224453382,0.42771382311118,-11.8328236569952,2.64105280688771e-32,2.54478643207666e-29
"ALB|213",2844.20797463951,4.98885573683521,0.42867599312227,11.6378239436708,2.6468258965848e-31,2.42890389776598e-28
"EPYC|1833",103.391065864318,-5.47435344133777,0.477043899181067,-11.4755758342901,1.75008701886334e-30,1.53299667911434e-27
"GPR144|347088",243.630655567101,5.6435978245425,0.497553493802243,11.3426955992507,8.06221759560731e-30,6.7550867515195e-27
"FIGF|2277",1575.21007117813,4.92975669387909,0.4366048849462,11.2911166683042,1.45180358119527e-29,1.16573778388392e-26
"FAM196B|100131897",400.561907602129,4.42934250726657,0.400699212043095,11.054033484823,2.0958200511373e-28,1.61554192821867e-25
"EDN3|1908",547.301576671447,4.54353434565648,0.41136109199302,11.0451241843105,2.31447419573729e-28,1.71547047023282e-25
"ATP1A2|477",4516.18027994421,4.07531102546765,0.372282128731954,10.9468349698889,6.88100931395714e-28,4.91125668478771e-25
"C2orf40|84417",1392.86728750061,4.39302744959499,0.402097836522564,10.9252700476752,8.72803885882507e-28,6.00707274458635e-25
"CXCL2|2920",989.188355880527,4.10998924574857,0.376670259812779,10.9113717865366,1.01709823111505e-27,6.7587931075235e-25
"KLHL1|57626",1084.78744953038,-5.90464640042723,0.543233567024866,-10.8694431987428,1.61181490550473e-27,1.03537616813272e-24
"LEP|3952",11505.0663006095,5.17548242601774,0.478759729573842,10.8101874621422,3.08039933110088e-27,1.91491533902081e-24
"TAT|6898",5779.20968797073,4.73707015408838,0.440442934427784,10.7552415620941,5.59871348326242e-27,3.37165023549844e-24
"DLK1|8788",314.090294093449,5.21957236097704,0.48741226013504,10.7087424504483,9.26112497129924e-27,5.24915115652669e-24
"IBSP|3381",112.774707284772,-6.10596979060923,0.570073612025944,-10.7108444625417,9.05321936188284e-27,5.24915115652669e-24
"TF|7018",6519.35004851766,4.36528621776039,0.417057503031205,10.4668689234294,1.22632290753516e-25,6.7521339288886e-23
"ANGPTL7|10218",479.279240292811,4.2029812977316,0.404288474119941,10.3959958464824,2.58571639938717e-25,1.38414835368306e-22
"SYN2|6854",719.80348031345,3.97743079759371,0.384085112614282,10.3555974104835,3.9471464823782e-25,2.05582323951109e-22
"FAM3D|131177",401.445465893754,4.16559375562752,0.405158270251225,10.2813988050758,8.54779027531253e-25,4.3348543788302e-22
"PKMYT1|9088",589.150909087113,-3.87638886802147,0.379186179915368,-10.2229170611826,1.56557382611653e-24,7.7359418469466e-22
"KIF4A|24137",870.23822151901,-3.91703584541892,0.387473482374797,-10.1091713977733,5.03079495343931e-24,2.42371123869322e-21
"CXCL10|3627",2375.35993509858,-3.79816645445317,0.376293776712564,-10.0936201699515,5.89543215148359e-24,2.77099690222537e-21
"CST2|1470",72.8062529807667,-5.12859743232815,0.509401707051688,-10.0678842676272,7.66082846138514e-24,3.51504345903221e-21
"TSLP|85480",238.062979430747,4.09595138088657,0.41065605971782,9.97416520214284,1.97757392931417e-23,8.86275050972402e-21
"ANLN|54443",1706.78853227887,-3.74979934969659,0.377031947600185,-9.94557456885053,2.6364813879022e-23,1.15471892786962e-20
"FOSB|2354",42312.8866175013,3.81075067646827,0.38381019998887,9.92873737221881,3.12183427927559e-23,1.336908186576e-20
"ADH1C|126",1054.4808067481,4.34069717233755,0.438335642564151,9.9026790222798,4.05270595826946e-23,1.69781948960458e-20
"MMP3|4314",723.001738203003,-3.75566518216662,0.379620140072448,-9.89321899899693,4.45468697963696e-23,1.82651644222519e-20
"DSG1|1828",417.252060939261,4.32855013185518,0.438652023009712,9.86784490848989,5.73842220524672e-23,2.30385696494395e-20
"APOB|338",947.461915011244,5.05434078905152,0.516882293980617,9.77851407934096,1.39239670172702e-22,5.47609731407782e-20
"KIF20A|10112",1258.13100090133,-3.90246260335692,0.402824196410126,-9.68775619273803,3.39914104386183e-22,1.31009694112523e-19
"DLGAP5|9787",631.417663000531,-3.70647854439186,0.383996725799109,-9.65237017758047,4.80324977776205e-22,1.81496914641672e-19
"KCNJ16|3773",381.280424737515,4.4324975664577,0.459639576385903,9.64342018002443,5.24119794968871e-22,1.94236780170098e-19
"RERGL|79785",448.348871928382,3.78256310270526,0.393256932943912,9.61855414573134,6.67629730362828e-22,2.42752689317397e-19
"WISP1|8840",468.89225257597,-3.67763189086856,0.385972787692536,-9.52821548082332,1.60010017415431e-21,5.71028341780144e-19
"OLFM4|10562",2982.24470068041,3.80101871587071,0.399117509543472,9.52355791210083,1.67349193038227e-21,5.86361145279942e-19
"TOP2A|7153",5371.36963487577,-3.65221537691784,0.383609509270924,-9.52065913032011,1.72084076579099e-21,5.92184328527823e-19
"SCARA5|286133",2749.53146525329,4.09756686794395,0.430682411073905,9.51412633203822,1.83246163902479e-21,6.19532776239418e-19
"MS4A15|219995",78.8998944335643,-4.50292444573533,0.474337754283645,-9.49307619954424,2.24314907816599e-21,7.45305618712702e-19
"ASPM|259266",1675.18760943715,-3.79309497305774,0.399743939632837,-9.48881170416662,2.33682848674412e-21,7.50550362800767e-19
"NEK2|4751",1116.21194311347,-3.66668937999685,0.386371709738883,-9.49005656360003,2.30908936156043e-21,7.50550362800767e-19
"CXCL13|10563",739.488761017951,-3.62650834522101,0.382258999810401,-9.4870450323465,2.37676185475677e-21,7.50861929557668e-19
"SPHKAP|80309",130.939327818585,4.15233960103781,0.439435450852261,9.44925948278541,3.41236193809156e-21,1.06063914369294e-18
"UHRF1|29128",1270.3340005879,-3.59240027841075,0.383071368702519,-9.37788770426352,6.73075839968456e-21,2.05886420825906e-18
"CXCL11|6373",650.019200858402,-3.82920077686803,0.408669458068023,-9.36992158643443,7.25864337518442e-21,2.18564557004967e-18
"DMD|1756",5944.30291318615,3.42792925444833,0.365979749538872,9.36644516197265,7.50165608267501e-21,2.22406791337277e-18
"GJB2|2706",1135.16542442191,-3.72955523235542,0.398706382914336,-9.35413976845394,8.42827478967014e-21,2.4609285374505e-18
"DLK2|65989",248.332670260631,3.80032349082335,0.408239514931361,9.30905351350496,1.28976527204152e-20,3.70971142649434e-18
"FRMD1|79981",211.608111103327,4.32422850384715,0.464660786270145,9.30620493835503,1.32481533736957e-20,3.75448770094838e-18
"CD300LG|146894",3923.73715184789,4.07328676934612,0.438665775036099,9.28562701070289,1.60757836106847e-20,4.48980327480441e-18
"HSPB7|27129",2951.13617369918,3.85157040839955,0.414947879216847,9.28205830493416,1.66235651511445e-20,4.57646748611008e-18
"EPR1|8475",166.189857177884,-3.8833675854375,0.418730814719791,-9.27413853703648,1.79060114380695e-20,4.86009502004278e-18
"SKA3|221150",344.089607183838,-3.58166143026063,0.388681286978163,-9.21490576020926,3.11551856893804e-20,8.33877199194515e-18
